domain,agency,status,redirect,valid,sitemap,allowed,source
diragrijmu.nic.in,"Agriculture Department - Jammu and Kashmir",500,"http://www.diragrijmu.nic.in/",false,"null",false,undefined
hpagriculture.com,"Agriculture Department - Himachal Pradesh",403,"https://aps-csb.in/",false,"null",false,undefined
agriharyana.gov.in,"Agriculture Department - Haryana",404,"https://agriharyana.gov.in/robots.txt",false,"null",false,false
krishi.bih.nic.in,"Agriculture Department - Bihar",500,"http://www.krishi.bih.nic.in/",false,"null",false,undefined
agri.and.nic.in,"Agriculture Department - Andaman and Nicobar",404,"https://agri.and.nic.in/robots.txt",false,"null",false,false
krishi.maharashtra.gov.in,"Agriculture Department - Maharashtra",200,"https://krishi.maharashtra.gov.in/App_Error.aspx?ErrorCode=404",false,"null",false,false
atmakohima.nic.in,"Agricultural Technology Management Agency (ATMA) - Kohima - Nagaland",500,"http://www.atmakohima.nic.in/",false,"null",false,undefined
jharkhand.gov.in,"Agriculture - Animal Husbandry and Co-operative Department - Jharkhand",200,"https://jharkhand.gov.in/robots.txt",true,"null",true,robots.txt
atma.gujarat.gov.in,"Agricultural Technology Management Agency (ATMA) Directorate and SAMETI - Gujarat",404,"https://atma.gujarat.gov.in/robots.txt",true,"null",true,false
atic-icarneh.nic.in,"Agricultural Technology Information Centre (ATIC)",500,"http://www.atic-icarneh.nic.in/",false,"null",false,undefined
asrb.org.in,"Agricultural Scientists Recruitment Board (ASRB) - New Delhi",404,"https://asrb.org.in/robots.txt",false,"null",false,false
megapib.nic.in,"Agricultural Planning and Information Bank(APIB) - East Khasi Hills District - Meghalaya",500,"http://www.megapib.nic.in/",false,"null",false,undefined
imdagrimet.gov.in,"Agricultural Meteorology Division",404,"https://imdagrimet.gov.in/robots.txt",false,"null",false,false
biotechcommission.kerala.gov.in,"Biotechnology Commission - Kerala",500,"http://www.biotechcommission.kerala.gov.in/",false,"null",false,undefined
krishimaratavahini.kar.nic.in,"Agricultural Marketing Department - Karnataka",500,"http://www.krishimaratavahini.kar.nic.in/",false,"null",false,undefined
agrimarketing.telangana.gov.in,"Agricultural Marketing Department - Telangana",404,"http://www.agrimarketing.telangana.gov.in/",false,"null",false,undefined
yas.gov.in," Youth Affairs and Sports",500,"https://www.yas.gov.in/",false,"null",false,undefined
jkatma.nic.in,"Agricultural Technology Management Agency (ATMA) - Government of Jammu and Kashmir",500,"http://www.jkatma.nic.in/",false,"null",false,undefined
alabama.gov,"State of Alabama",200,"https://www.alabama.gov/robots.txt",true,"null",true,robots.txt
data.gov.in,"Open Government Data Platform India",200,"https://www.data.gov.in/robots.txt",true,"null",true,robots.txt
